id;ngay_muon;han_tra;ngay_tra;trang_thai
1;2021-04-10T05:23:23;2021-04-10T04:34:13;2021-04-10T07:14:17;28323
2;2021-04-09T19:05:09;2021-04-10T06:05:39;2021-04-10T07:18:18;9754
3;2021-04-09T21:14:54;2021-04-09T20:33:34;2021-04-10T02:43:00;82313
4;2021-04-09T11:58:06;2021-04-09T16:24:04;2021-04-09T14:03:34;72773
5;2021-04-09T13:30:10;2021-04-09T10:00:56;2021-04-09T20:54:42;43276
6;2021-04-10T00:57:50;2021-04-09T17:48:11;2021-04-10T04:49:19;18805
7;2021-04-10T03:08:09;2021-04-10T03:43:16;2021-04-10T01:38:29;71453
8;2021-04-09T13:11:59;2021-04-09T13:31:18;2021-04-10T02:57:08;42021
9;2021-04-09T13:40:08;2021-04-10T04:56:43;2021-04-09T17:39:45;9931
10;2021-04-09T11:21:51;2021-04-09T21:27:54;2021-04-09T14:35:48;48144
